COD_CURSO;COD_DISCIPLINA;COD_TURMA;PERIODO_IDEAL;NOME_DISCIPLINA;VAGAS_OFERECIDAS;DIA_SEMANA;HR_INICIO;HR_FIM;NUM_SALA;NOME_DOCENTE
GAMB;GEAMB1516;151516;5;CARTOGRAFIA E GEOPROCESSAMENTO;30;QUI;14:35:00;18:10:00;D-218;ALINE RICCIONI DE MELOS
GAMB;GEAMB1516;151516;5;CARTOGRAFIA E GEOPROCESSAMENTO;30;QUI;14:35:00;18:10:00;D-218;TAMIRIS BATISTA DINIZ
BCC;GCC1209;920010;2;CIÊNCIAS AMBIENTAIS;40;TER;16:30:00;18:10:00;P1-204;ALINE GUIMARAES MONTEIRO TRIGO
GAUT;GEXT7201;654319;5;CIÊNCIAS DO AMBIENTE;25;QUI;15:25:00;17:20:00;E-301;ALINE GUIMARAES MONTEIRO TRIGO
GCIV;GEXT7201;710007;2;CIÊNCIAS DO AMBIENTE;45;TER;13:40:00;15:25:00;E-303;ALINE GUIMARAES MONTEIRO TRIGO
GEL;GEXT7201;242319;5;CIÊNCIAS DO AMBIENTE;25;QUI;15:25:00;17:20:00;D-222;LUIZA CANTUARIA COSTA
GELT;GEXT7201;342319;5;CIÊNCIAS DO AMBIENTE;25;TER;12:50:00;14:30:00;E-405;LUIZA CANTUARIA COSTA
GMEC;GEXT7201;140002;5;CIÊNCIAS DO AMBIENTE;40;QUI;07:00:00;08:40:00;E-209;LUIZA CANTUARIA COSTA
GPROD;GEXT7201;440081;5;CIÊNCIAS DO AMBIENTE;55;QUI;08:55:00;10:35:00;H-105;LUIZA CANTUARIA COSTA
GTEL;GEXT7201;540319;5;CIÊNCIAS DO AMBIENTE;25;TER;14:35:00;16:15:00;E-403;LUIZA CANTUARIA COSTA
GAUT;GELE7051;653029;4;CIRCUITOS ELÉTRICOS I;12;TER;08:55:00;10:35:00;E-210;ALINE GESUALDI MANHAES
GAUT;GELE7051;653029;4;CIRCUITOS ELÉTRICOS I;12;TER;08:55:00;10:35:00;E-210;THAYZA MARCELA VAN DER LAAN MELO
GAUT;GELE7051;653029;4;CIRCUITOS ELÉTRICOS I;12;SEX;08:55:00;12:20:00;D-224;ALINE GESUALDI MANHAES
GAUT;GELE7051;653029;4;CIRCUITOS ELÉTRICOS I;12;SEX;08:55:00;12:20:00;D-224;THAYZA MARCELA VAN DER LAAN MELO
GEL;GELE7051;232289;4;CIRCUITOS ELÉTRICOS I;12;TER;10:40:00;12:20:00;E-210;THAYZA MARCELA VAN DER LAAN MELO
